Date,eindend,vindend
19771102,174.294205,93.376907
19771109,179.718796,95.948837
19771116,186.477097,98.960701
19771123,191.356293,100.421501
19771130,191.145905,99.043259
19771207,189.383301,97.131218
19771214,191.018997,98.423897
19771221,189.930893,97.590202
19771228,192.358002,99.22715
19780104,192.423294,98.07592
19780111,185.471603,94.039726
19780118,188.746994,95.078827
19780125,189.752594,94.080406
19780201,191.653702,94.790703
19780208,195.241196,96.123459
19780215,194.547394,94.399513
19780222,193.619293,93.293121
19780301,193.764496,93.065712
19780308,196.436707,93.891083
19780315,200.655594,95.481148
19780322,203.774307,96.006058
19780329,207.169098,96.37867
19780405,209.463806,96.479942
19780412,213.628403,97.23568
19780419,219.259201,100.911102
19780426,224.5056,103.885803
19780503,226.431793,103.7089
19780510,230.490494,104.083702
19780517,238.635895,107.9217
19780524,236.714798,105.683701
19780531,239.075394,106.061996
19780607,245.520905,109.209
19780614,249.030701,108.945297
19780621,240.693604,105.180099
19780628,238.434097,104.555397
19780705,237.564301,103.545601
19780712,241.075806,105.7136
19780719,245.752899,107.745003
19780726,248.728699,108.776299
19780802,257.884491,113.326401
19780809,263.311707,115.285797
19780816,268.434387,115.844803
19780823,272.423615,116.332001
19780830,276.200989,115.368599
19780906,281.556396,117.3909
19780913,288.550415,118.825203
19780920,274.864105,113.437202
19780927,275.425598,113.4561
19781004,277.85379,114.959503
19781011,282.336395,117.616203
19781018,265.022186,111.640404
19781025,248.272095,107.484703
19781101,235.310898,106.546303
19781108,231.923492,104.174103
19781115,226.988403,102.479698
19781122,236.820099,106.070396
19781129,235.233994,104.613503
19781206,244.657593,108.967003
19781213,241.934601,107.459999
19781220,235.204193,105.741997
19781227,238.830002,107.905602
19790103,246.772507,109.350304
19790110,255.032196,110.759697
19790117,257.993805,111.6241
19790124,261.72049,112.502998
19790131,262.661011,112.430901
19790207,256.574097,109.803299
19790214,261.898285,111.9077
19790221,263.485199,112.371902
19790228,256.729401,109.337097
19790307,263.515594,112.0625
19790314,269.205414,113.786301
19790321,274.58609,115.622002
19790328,279.4888,116.808899
19790404,283.925293,117.6325
19790411,285.635803,117.511597
19790418,285.491394,116.952301
19790425,288.77359,118.036598
19790502,288.655304,117.395203
19790509,280.802185,114.740601
19790516,278.636597,113.781601
19790523,286.016907,116.1651
19790530,286.650696,115.622002
19790606,292.708588,118.375999
19790613,298.971985,119.974701
19790620,299.815887,119.451797
19790627,301.606201,120.212502
19790704,302.673309,120.583504
19790711,305.658813,121.820602
19790718,300.44931,119.666901
19790725,305.591614,121.445
19790801,312.282196,123.1166
19790808,318.51651,125.439499
19790815,327.856415,128.499207
19790822,331.548492,129.7258
19790829,333.789307,130.027405
19790905,326.614685,127.0196
19790912,331.613892,129.183594
19790919,333.301605,129.788895
19790926,335.79599,131.520294
19791003,337.774109,131.4245
19791010,311.972595,125.220497
19791017,311.559692,123.384697
19791024,296.309296,119.400597
19791031,302.631897,121.554199
19791107,299.410706,119.991501
19791114,309.325409,124.6763
19791121,311.045105,125.6558
19791128,323.99231,129.791397
19791205,328.579803,130.770004
19791212,334.67099,131.480896
19791219,337.87149,132.547607
19791226,340.550903,132.303894
19800102,340.107208,129.972702
19800109,353.719391,134.371506
19800116,366.143585,137.239502
19800123,371.531097,139.7957
19800130,378.564697,142.380096
19800206,379.997498,143.425507
19800213,383.487091,146.509293
19800220,377.562897,144.598999
19800227,366.148102,140.160507
19800305,358.362213,138.447693
19800312,341.258392,132.7005
19800319,330.092194,129.199295
19800326,310.478485,121.629799
19800402,317.623413,126.5
19800409,317.941803,127.433098
19800416,318.6409,125.531097
19800423,324.830688,128.394608
19800430,332.295288,131.612
19800507,339.853607,133.246002
19800514,344.670288,133.226395
19800521,349.569489,134.603394
19800528,360.26889,140.479996
19800604,362.593903,141.380295
19800611,370.028198,145.827194
19800618,373.561798,146.395599
19800625,377.971313,147.2771
19800702,379.214508,146.374405
19800709,388.689301,149.344803
19800716,398.708801,151.474106
19800723,406.970886,154.280807
19800730,413.102112,154.938004
19800806,417.952087,154.433395
19800813,427.072296,157.102493
19800820,430.119202,158.068802
19800827,438.61261,158.732605
19800903,448.178802,162.234695
19800910,453.312103,161.235001
19800917,470.088806,166.557205
19800924,470.275513,168.414398
19801001,454.9487,164.051498
19801008,471.458496,169.955902
19801015,478.44809,173.149002
19801022,474.804504,170.8909
19801029,465.746704,165.525208
19801105,472.694214,169.741806
19801112,476.800995,173.735107
19801119,485.747314,179.942703
19801126,486.915009,181.772293
19801203,480.606293,177.782104
19801210,455.515808,166.518295
19801217,455.744812,171.732498
19801224,472.879913,176.175903
19801231,476.297485,176.0858
19810107,475.269806,174.617096
19810114,479.191406,173.082306
19810121,477.505707,170.732193
19810128,477.117187,169.675003
19810204,474.364197,167.439301
19810211,479.516205,167.548599
19810218,477.838196,167.821701
19810225,476.365509,167.930298
19810304,488.888397,171.412292
19810311,492.149414,170.591003
19810318,509.63501,176.233307
19810325,525.570923,180.490005
19810401,531.126221,180.3638
19810408,531.840881,177.975296
19810415,536.841614,177.729401
19810422,541.097595,177.670807
19810429,537.544373,176.257294
19810506,526.96759,173.912201
19810513,529.988892,174.346695
19810520,538.857971,176.804398
19810527,548.609924,179.631104
19810603,548.22467,175.645996
19810610,553.317078,177.681198
19810617,560.324402,179.237
19810624,559.354004,178.711105
19810701,548.077515,175.078201
19810708,534.718079,172.7995
19810715,540.546204,175.415802
19810722,530.385498,171.766296
19810729,534.96991,174.128403
19810805,543.124817,179.088593
19810812,546.311218,180.824493
19810819,535.0448,176.9048
19810826,511.900391,169.562302
19810902,504.775787,167.756607
19810909,481.022491,160.178406
19810916,488.622009,160.915695
19810923,467.681488,155.748398
